type,msg,x,degree,numTerms,blMod,t0,buildTask,publishTaskIPFS,publishTaskETH,workerPullTask,workerProcessTask,workerSubmitResultIPFS,workerSubmitResultETH,userTriggerVerify,userVerify,oracleVerify,invokeVerification,gasUsed
MULTIVAR,test,2,64,25,1024,333471701193177,53011,0,0,0,676785,10977,0,0,0,8459,125439904,111054
MULTIVAR,test,2,64,25,1024,333471832077908,39613,0,0,0,1540273,10764,0,0,0,6583,113418283,96542
MULTIVAR,test,2,64,25,1024,333471951852483,37563,0,0,0,1208064,10908,0,0,0,8833,344172047,176945
MULTIVAR,test,2,64,25,1024,333472302412484,42990,0,0,0,973314,12074,0,0,0,9544,155651874,112195
MULTIVAR,test,2,64,25,1024,333472464115939,41072,0,0,0,1034822,11091,0,0,0,10761,301908750,165954
MULTIVAR,test,2,64,25,1024,333472772584834,42313,0,0,0,1215958,12544,0,0,0,5105,123643279,96063
MULTIVAR,test,2,64,25,1024,333472902314999,47510,0,0,0,1394422,12800,0,0,0,7230,118662631,96250
MULTIVAR,test,2,64,25,1024,333473027264060,40719,0,0,0,1514315,15386,0,0,0,8448,119630252,107084
MULTIVAR,test,2,64,25,1024,333473157340094,87353,0,0,0,1288162,12306,0,0,0,10992,266489033,150482
MULTIVAR,test,2,64,25,1024,333473430124715,38891,0,0,0,1033071,9403,0,0,0,5519,127637350,101717
MULTIVAR,test,2,64,25,1024,333473563303498,37336,0,0,0,1578477,19062,0,0,0,7121,89767907,89274
MULTIVAR,test,2,64,25,1024,333473659559947,38706,0,0,0,1446843,12640,0,0,0,11641,178093677,134949
MULTIVAR,test,2,64,25,1024,333473843995136,40478,0,0,0,1058351,14144,0,0,0,10434,252093070,141576
MULTIVAR,test,2,64,25,1024,333474102064976,40873,0,0,0,4652544,15187,0,0,0,6258,97724391,87295
MULTIVAR,test,2,64,25,1024,333474209188128,63256,0,0,0,3976410,12011,0,0,0,8552,150547598,120318
MULTIVAR,test,2,64,25,1024,333474368476944,60905,0,0,0,1166951,16180,0,0,0,6070,96943371,92090
MULTIVAR,test,2,64,25,1024,333474472319511,47593,0,0,0,3202443,12828,0,0,0,6598,99660389,88782
